forecast_timestamp,team,group,spi,global_o,global_d,sim_wins,sim_ties,sim_losses,sim_goal_diff,goals_scored,goals_against,group_1,group_2,group_3,group_4,make_round_of_16,make_quarters,make_semis,make_final,win_league,timestamp
2018-06-13 15:00:46 UTC,Iceland,D,67.07394,1.92122,0.92018,0.70305,0.79968,1.49727,-1.77955,2.97942,4.75897,0.09964,0.18965,0.30484,0.40587,0.28929,0.10036,0.03139,0.00825,0.00211,2018-06-17 19:58:10 UTC
2018-06-13 15:00:46 UTC,Senegal,H,65.96802,1.65995,0.75761,0.75428,0.89402,1.3517,-1.22805,2.86161,4.08966,0.12974,0.204,0.28786,0.3784,0.33374,0.09086,0.02072,0.00561,0.00136,2018-06-17 19:58:10 UTC
2018-06-13 15:00:46 UTC,Iran,B,65.56769,1.60243,0.72717,0.46424,0.78529,1.75047,-2.91211,1.9182,4.83031,0.03697,0.12919,0.30646,0.52738,0.16616,0.06585,0.01902,0.0048,0.00113,2018-06-17 19:58:10 UTC
2018-06-13 15:00:46 UTC,Egypt,A,62.46236,1.60808,0.85654,0.84678,0.84175,1.31147,-0.97761,3.12048,4.09809,0.11932,0.22689,0.3757,0.27809,0.34621,0.06168,0.01617,0.00359,0.00092,2018-06-17 19:58:10 UTC
2018-06-13 15:00:46 UTC,Costa Rica,E,64.89752,1.73368,0.86128,0.47035,0.70003,1.82962,-3.23248,2.27937,5.51185,0.03234,0.13385,0.27544,0.55837,0.16619,0.03813,0.01227,0.00325,0.00064,2018-06-17 19:58:10 UTC
2018-06-13 15:00:46 UTC,Tunisia,G,59.59496,1.62315,0.98848,0.55839,0.69617,1.74544,-2.93305,2.47295,5.406,0.03821,0.12307,0.41233,0.42639,0.16128,0.04906,0.00806,0.00154,0.00031,2018-06-17 19:58:10 UTC
2018-06-13 15:00:46 UTC,Australia,C,61.68548,1.7923,1.04721,0.5195,0.67325,1.80725,-3.22776,2.79658,6.02434,0.04426,0.13659,0.27382,0.54533,0.18085,0.04054,0.00865,0.0016,0.00028,2018-06-17 19:58:10 UTC
2018-06-13 15:00:46 UTC,South Korea,F,60.1367,1.61593,0.95934,0.44471,0.66423,1.89106,-3.62091,2.33821,5.95912,0.02894,0.1214,0.26233,0.58733,0.15034,0.02373,0.00564,0.00115,0.00022,2018-06-17 19:58:10 UTC
2018-06-13 15:00:46 UTC,Panama,G,56.47272,1.45612,0.96652,0.45386,0.67409,1.87205,-3.41402,2.07636,5.49038,0.02385,0.09527,0.36969,0.51119,0.11912,0.03251,0.00471,0.00091,0.00011,2018-06-17 19:58:10 UTC
2018-06-13 15:00:46 UTC,Saudi Arabia,A,51.3338,1.47177,1.20177,0.46546,0.70902,1.82552,-3.18741,2.40331,5.59072,0.04419,0.1163,0.26787,0.57164,0.16049,0.01498,0.00201,0.00031,6.000000000000001e-05,2018-06-17 19:58:10 UTC
